Title,Price,Bedrooms,Bathrooms,Property_Type,BER_Rating,Latitude,Longitude,Address,Country
"10 Stillorgan Gate, Kilmacud Road Upper, Kilmacud, Co. Dublin, D14RX06",1250000,4,3.0,Terrace,A2,53.285806,-6.224107,"10 Stillorgan Gate, Kilmacud Road Upper, Kilmacud, Co. Dublin, D14RX06",Dublin
"248 Laraghcon, Lucan, Co. Dublin, K78HN72",535000,4,3.0,End of Terrace,B3,53.36459,-6.447448,"248 Laraghcon, Lucan, Co. Dublin, K78HN72",Dublin
"Hilltop, Tumnahulla, Corrandulla, Co. Galway, H91A6FT",420000,3,2.0,Detached,C3,53.402679,-8.970187,"Hilltop, Tumnahulla, Corrandulla, Co. Galway, H91A6FT",Galway
"Rock House, Old Downs Road, Delgany, Co. Wicklow, A63YH31",1050000,3,1.0,Detached,E1,53.127968,-6.110901,"Rock House, Old Downs Road, Delgany, Co. Wicklow, A63YH31",Wicklow
"Cloghbrack Upper, Cloghbrack, Clonbur, Co. Galway, F12VF98",190000,4,1.0,Bungalow,D2,53.554433,-9.457565,"Cloghbrack Upper, Cloghbrack, Clonbur, Co. Galway, F12VF98",Galway
"Moyveela, Oranmore, Co. Galway, H91RXA3",350000,3,1.0,Bungalow,D2,53.271381,-8.840071,"Moyveela, Oranmore, Co. Galway, H91RXA3",Galway
"Boleybeg East, Barna, H91K230",695000,5,3.0,Detached,C2,53.284024,-9.13459,"Boleybeg East, Barna, H91K230",Galway
"94 Old Cabra Road, Dublin 7, Navan Road (D7), Dublin 7, D07F2P7",1250000,3,3.0,Semi-D,C1,53.360274,-6.294232,"94 Old Cabra Road, Dublin 7, Navan Road (D7), Dublin 7, D07F2P7",Dublin
"22 Patrick Street, Dun Laoghaire, Co. Dublin, A96CF51",495000,2,1.0,Terrace,D2,53.291274,-6.137658,"22 Patrick Street, Dun Laoghaire, Co. Dublin, A96CF51",Dublin
"16 The Waterfront, Bridge Street, Galway City Centre, H91K6K7",475000,3,2.0,Apartment,C2,53.271658,-9.055406,"16 The Waterfront, Bridge Street, Galway City Centre, H91K6K7",
"Cloverhill, Sligo, Co. Sligo, F91H5V2",645000,5,3.0,Detached,B2,54.23816,-8.514905,"Cloverhill, Sligo, Co. Sligo, F91H5V2",Sligo
"4 Earlsfort View, Lucan, Co. Dublin, K78HH52",385000,3,1.0,Semi-D,C2,53.34297,-6.414212,"4 Earlsfort View, Lucan, Co. Dublin, K78HH52",Dublin
"Aille, Barna, Co. Galway, H91P58F",600000,4,2.0,Detached,D1,53.265412,-9.145455,"Aille, Barna, Co. Galway, H91P58F",Galway
"Lower Ballygarvan, Ballygarvan, Co. Cork, T12AH31",625000,4,3.0,Detached,B3,51.820432,-8.479628,"Lower Ballygarvan, Ballygarvan, Co. Cork, T12AH31",Cork
"98 Tudor Grove, Ashbourne, Ashbourne, Co. Meath, A84E671",495000,4,3.0,Detached,C2,53.516048,-6.403225,"98 Tudor Grove, Ashbourne, Ashbourne, Co. Meath, A84E671",Meath
"Kenah Hill, St George's Avenue, Killiney, Co Dublin, A96PY79",10750000,7,7.0,Detached,SI_666,53.261294,-6.119492,"Kenah Hill, St George's Avenue, Killiney, Co Dublin, A96PY79",Dublin
"Grandale, 77 Hawthorn Drive, Waterford City, Co. Waterford, X91V30A",225000,3,1.0,Semi-D,D1,52.261049,-7.137087,"Grandale, 77 Hawthorn Drive, Waterford City, Co. Waterford, X91V30A",Waterford
"Cleadagh Cottage, Cleadagh, Spanish Point, Co. Clare, V95CX26",625000,3,2.0,Detached,F,52.859091,-9.429988,"Cleadagh Cottage, Cleadagh, Spanish Point, Co. Clare, V95CX26",Clare
"Dunamaise, Johnduffswood, Oldleighlin, Co. Carlow, R93WF10",425000,4,4.0,Detached,B3,52.751005,-7.023952,"Dunamaise, Johnduffswood, Oldleighlin, Co. Carlow, R93WF10",Carlow
"Oak Vale Meadows, Stradbally, Co. Laois",345000,3,3.0,Semi-D,A3,53.014497,-7.145223,"Oak Vale Meadows, Stradbally, Co. Laois",Laois
"Apartment 1, Kingston House, Barna Road, Kingston, Co. Galway, H91RK46",350000,3,2.0,Apartment,C2,53.260404,-9.120607,"Apartment 1, Kingston House, Barna Road, Kingston, Co. Galway, H91RK46",Galway
"2 Costello Road, H91HP6W",AMV: 235000,2,1.0,Terrace,G,53.275526,-9.069846,"2 Costello Road, H91HP6W",Galway
"148 Clochrn, Kilcloghans, Tuam, Co. Galway, H54D762",315000,4,3.0,Semi-D,C1,53.529453,-8.857084,"148 Clochrn, Kilcloghans, Tuam, Co. Galway, H54D762",Galway
"Edenmore House, Ballybofey, Co. Donegal, F93EE61",1950000,5,3.0,Detached,SI_666,54.798954,-7.746113,"Edenmore House, Ballybofey, Co. Donegal, F93EE61",Donegal
"18 Saint Endas Avenue, Tuam, Tuam, Co. Galway, H54WR65",150000,3,1.0,Semi-D,E1,53.509712,-8.856419,"18 Saint Endas Avenue, Tuam, Tuam, Co. Galway, H54WR65",Galway
"10 Inis Alainn, Fiddown, Co. Kilkenny, E32WD30",240000,3,3.0,Detached,C2,52.332553,-7.316668,"10 Inis Alainn, Fiddown, Co. Kilkenny, E32WD30",Kilkenny
"73 Woodfield, Cappagh Road, Knocknacarra, Co. Galway, H91WDN0",380000,4,2.0,End of Terrace,D1,53.261484,-9.12626,"73 Woodfield, Cappagh Road, Knocknacarra, Co. Galway, H91WDN0",Galway
"70 The Green, College Road, Galway City Centre, H91XTY4",450000,4,3.0,Semi-D,C1,53.278115,-9.040864,"70 The Green, College Road, Galway City Centre, H91XTY4",
"Montpelier, 64 Orwell Park, Rathgar, Dublin 6, D06X4E6",3750000,6,3.0,Detached,E2,53.307039,-6.267568,"Montpelier, 64 Orwell Park, Rathgar, Dublin 6, D06X4E6",Dublin
"Stonebridge Farmhouse, Ahacross, Kildorrery, Co. Cork, P67R963",410000,4,3.0,Detached,B2,52.257955,-8.385395,"Stonebridge Farmhouse, Ahacross, Kildorrery, Co. Cork, P67R963",Cork
"Crooke, Passage East, Co. Waterford, X91XR92",1100000,4,4.0,Detached,C2,52.223393,-6.976926,"Crooke, Passage East, Co. Waterford, X91XR92",Waterford
"Gardenfield, H54A990",290000,3,1.0,Detached,F,53.540699,-8.871709,"Gardenfield, H54A990",Galway
"52a Hollyville Mews, Grange, Grange, Co. Cork, T12C3V7",325000,3,1.0,Semi-D,D1,51.866232,-8.451567,"52a Hollyville Mews, Grange, Grange, Co. Cork, T12C3V7",Cork
"16 Renmore Road, Renmore, Co. Galway, H91XVX4",AMV: 475000,3,2.0,Apartment,C1,53.277395,-9.023529,"16 Renmore Road, Renmore, Co. Galway, H91XVX4",Galway
"Glenlucan Lodge, Glenlucan Court, Killarney Road, Bray, Co. Wicklow, A98E9X2",1100000,4,5.0,Detached,A2,53.198827,-6.119561,"Glenlucan Lodge, Glenlucan Court, Killarney Road, Bray, Co. Wicklow, A98E9X2",Wicklow
"Bealach Ceart, 3 Seapoint, Barna, Co. Galway, H91Y8HF",595000,4,3.0,Detached,A3,53.250955,-9.152711,"Bealach Ceart, 3 Seapoint, Barna, Co. Galway, H91Y8HF",Galway
"63 Ravenswood, Carrick-on-Suir, Co. Tipperary, E32CC44",200000,3,3.0,Terrace,C1,52.353305,-7.403022,"63 Ravenswood, Carrick-on-Suir, Co. Tipperary, E32CC44",Tipperary
"2 Gort An Aird, Gurteen, Bandon, Co. Cork, P72KW40",Price on Application,4,4.0,Detached,A2,51.758648,-8.789771,"2 Gort An Aird, Gurteen, Bandon, Co. Cork, P72KW40",Cork
"33 Loch Eala, Lough Gowna, Co. Cavan, H12X389",495000,4,5.0,Detached,C1,53.870792,-7.529761,"33 Loch Eala, Lough Gowna, Co. Cavan, H12X389",Cavan
"Clashmelcon, Causeway, Causeway, Co. Kerry, V92X2N1",399000,7,3.0,Detached,C1,52.456949,-9.729572,"Clashmelcon, Causeway, Causeway, Co. Kerry, V92X2N1",Kerry
"15 Greystones, Blackstone Bridge, Killeens, Co. Cork, T23V068",475000,5,3.0,Detached,B2,51.919988,-8.504007,"15 Greystones, Blackstone Bridge, Killeens, Co. Cork, T23V068",Cork
"11 Crannagh Way, Rathfarnham, Churchtown, Dublin 14, D14P9P5",1050000,4,3.0,Detached,C1,53.301224,-6.27586,"11 Crannagh Way, Rathfarnham, Churchtown, Dublin 14, D14P9P5",Dublin
"91 Rathgar Road, Rathgar, Dublin 6, D06F688",1250000,8,5.0,Terrace,E1,53.313467,-6.273357,"91 Rathgar Road, Rathgar, Dublin 6, D06F688",Dublin
"13 Deerpark Road, Castleknock, Dublin 15, D15X86P",1675000,5,2.0,Detached,C2,53.372312,-6.351842,"13 Deerpark Road, Castleknock, Dublin 15, D15X86P",Dublin
"Kilshanny, Island Lane, Ballinakill, Waterford, X91K6VH",800000,6,4.0,House,C2,52.245859,-7.063573,"Kilshanny, Island Lane, Ballinakill, Waterford, X91K6VH",Waterford
"75 Lee Drive, Ballinorig, Tralee, Co. Kerry, V92XR5V",269000,4,3.0,End of Terrace,C2,52.267356,-9.672287,"75 Lee Drive, Ballinorig, Tralee, Co. Kerry, V92XR5V",Kerry
"Currinara, Foxford, Co Mayo, F26E8D5",495000,4,0.0,Detached,C3,53.974964,-9.101287,"Currinara, Foxford, Co Mayo, F26E8D5",Mayo
"Moorepark House, Moorepark, Garristown, Co. Meath, A42D653",950000,6,3.0,Detached,C1,53.588215,-6.408478,"Moorepark House, Moorepark, Garristown, Co. Meath, A42D653",Meath
"19 Doctor Mannix Road, Salthill, Co. Galway, H91W9HE",900000,7,3.0,Semi-D,D1,53.264826,-9.081299,"19 Doctor Mannix Road, Salthill, Co. Galway, H91W9HE",Galway
"87 Garran Ard, Doughiska, Co. Galway, H91RWE1",380000,5,6.0,End of Terrace,C2,53.282566,-8.97726,"87 Garran Ard, Doughiska, Co. Galway, H91RWE1",Galway
"26 The Orchards, Tullow Road, Carlow Town, Co. Carlow, R93FP89",359950,4,2.0,Bungalow,D1,52.828418,-6.903634,"26 The Orchards, Tullow Road, Carlow Town, Co. Carlow, R93FP89",Carlow
"Apartment 106, Forbes Quay Apartments, Grand Canal Dock, Dublin 2, D02X027",555000,2,2.0,Apartment,B1,53.345489,-6.239353,"Apartment 106, Forbes Quay Apartments, Grand Canal Dock, Dublin 2, D02X027",Dublin
"30 Mill Road, Greystones, Co. Wicklow, A63PX75",595000,3,1.0,Detached,G,53.132877,-6.077715,"30 Mill Road, Greystones, Co. Wicklow, A63PX75",Wicklow
"Site at  Beechwalk, Cookstown, Enniskerry, Co. Wicklow, A98PF74",Price on Application,0,0.0,Site,,53.190426,-6.16734,"Site at  Beechwalk, Cookstown, Enniskerry, Co. Wicklow, A98PF74",Wicklow
"Beechwalk, Cookstown, Enniskerry, Co. Wicklow, A98PF74",Price on Application,6,5.0,Detached,C2,53.190426,-6.16734,"Beechwalk, Cookstown, Enniskerry, Co. Wicklow, A98PF74",Wicklow
"3 Louis Lane, Leinster Road, Rathmines, Dublin 6, D06CD60",1295000,3,2.0,Terrace,B3,53.324409,-6.269076,"3 Louis Lane, Leinster Road, Rathmines, Dublin 6, D06CD60",Dublin
"Grange, Turloughmore, Co. Galway, H65AK79",365000,4,2.0,Detached,C2,53.347267,-8.862659,"Grange, Turloughmore, Co. Galway, H65AK79",Galway
"Cregnanagh, Shrule, Shrule, Co. Mayo, H91A0YD",395000,5,3.0,Detached,B3,53.546504,-9.109413,"Cregnanagh, Shrule, Shrule, Co. Mayo, H91A0YD",Mayo
"32 Abington, Malahide, Malahide, Co. Dublin, K36D998",1950000,6,5.0,Detached,C2,53.445966,-6.1818,"32 Abington, Malahide, Malahide, Co. Dublin, K36D998",Dublin
"1 Newtown Abbey, Trim, Co. Meath, C15HY98",550000,3,2.0,Detached,D2,53.557095,-6.770312,"1 Newtown Abbey, Trim, Co. Meath, C15HY98",Meath
"2 Phoenix Terrace, Rock Road, Blackrock, Co. Dublin, A94E5X7",1275000,4,2.0,Terrace,SI_666,53.304643,-6.186704,"2 Phoenix Terrace, Rock Road, Blackrock, Co. Dublin, A94E5X7",Dublin
"3 Coolrua Drive, Dublin 9, Beaumont, Dublin 9, D09F978",460000,3,1.0,Semi-D,E1,53.388938,-6.235343,"3 Coolrua Drive, Dublin 9, Beaumont, Dublin 9, D09F978",Dublin
"20 Muileann Close, Swords, Co. Dublin, K67H6P0",490000,3,2.0,Terrace,A2,53.443039,-6.202728,"20 Muileann Close, Swords, Co. Dublin, K67H6P0",Dublin
"1 Garrai Na Droichid, Killora, Craughwell, Co. Galway, H91W9NN",495000,4,3.0,Detached,A2,53.226343,-8.737309,"1 Garrai Na Droichid, Killora, Craughwell, Co. Galway, H91W9NN",Galway
"24 St Ignatius Road, Phibsborough, Dublin 7, D07VR80",445000,2,2.0,End of Terrace,D2,53.361799,-6.26255,"24 St Ignatius Road, Phibsborough, Dublin 7, D07VR80",Dublin
"5 Streamstown Wood Steamstown Malahide, Malahide, Co. Dublin, K36AY26",1950000,5,5.0,Detached,A2,53.436867,-6.18076,"5 Streamstown Wood Steamstown Malahide, Malahide, Co. Dublin, K36AY26",Dublin
"Rose Mont, Woodbine Park, Blackrock, Co. Dublin, A94A9W6",1295000,5,3.0,Detached,B3,53.309654,-6.208595,"Rose Mont, Woodbine Park, Blackrock, Co. Dublin, A94A9W6",Dublin
"Forenaught, Creaden, Dunmore East, Co. Waterford, X91C9Y2",2495000,6,5.0,Detached,B1,52.180391,-6.978134,"Forenaught, Creaden, Dunmore East, Co. Waterford, X91C9Y2",Waterford
"Ballinacarriga, Kildimo, Limerick City, Co. Limerick, V9425V6",795000,5,3.0,Detached,A3,52.655423,-8.8094137,"Ballinacarriga, Kildimo, Limerick City, Co. Limerick, V9425V6",Limerick
"Rahoon House, Ros Geal, Rahoon Road, Rahoon, Galway City, Co. Galway",Price on Application,8,7.0,Apartment,,53.273781,-9.091508,"Rahoon House, Ros Geal, Rahoon Road, Rahoon, Galway City, Co. Galway",Galway
"Summerdale House, Bishop O'Donnell Road, Galway City, Co. Galway, H91E6CH",Price on Application,0,0.0,Site,,53.271745,-9.086668,"Summerdale House, Bishop O'Donnell Road, Galway City, Co. Galway, H91E6CH",Galway
"65 Riasc na Ri, Bothar Stiofan, Rahoon, Co. Galway, H91PNX4",425000,3,3.0,Semi-D,C3,53.275101,-9.099765,"65 Riasc na Ri, Bothar Stiofan, Rahoon, Co. Galway, H91PNX4",Galway
"107 Heathervue, Greystones, Co. Wicklow, A63AE35",695000,4,2.0,Detached,B3,53.144243,-6.068578,"107 Heathervue, Greystones, Co. Wicklow, A63AE35",Wicklow
"1 Galway Bay Sea View Apartments, Upper Salthill, Salthill, Co. Galway, H91W59R",375000,2,2.0,Apartment,D1,53.258605,-9.078925,"1 Galway Bay Sea View Apartments, Upper Salthill, Salthill, Co. Galway, H91W59R",Galway
"83 Father Griffin Road, Galway, Claddagh, Co. Galway, H91W6YT",325000,2,1.0,Bungalow,E2,53.268314,-9.05805,"83 Father Griffin Road, Galway, Claddagh, Co. Galway, H91W6YT",Galway
"36 Newton Court, Grange, Douglas, Co. Cork, T12YNN3",279000,3,1.0,Semi-D,E2,51.865006,-8.452392,"36 Newton Court, Grange, Douglas, Co. Cork, T12YNN3",Cork
"3 Killincarrig Manor, Greystones, Greystones, Co. Wicklow, A63K221",935000,2,2.0,End of Terrace,SI_666,53.13847,-6.073041,"3 Killincarrig Manor, Greystones, Greystones, Co. Wicklow, A63K221",Wicklow
"Berring's, Berring's, Island Lane, Ballinakill, Waterford City, Co. Waterford, X91YYP8",695000,5,4.0,Detached,C2,52.245258,-7.063321,"Berring's, Berring's, Island Lane, Ballinakill, Waterford City, Co. Waterford, X91YYP8",Waterford
"Grandgate Lodge, Gardenfield, Tuam, Co. Galway, H54Y067",550000,4,3.0,Detached,A3,53.533553,-8.870457,"Grandgate Lodge, Gardenfield, Tuam, Co. Galway, H54Y067",Galway
"The Farmhouse, Ballinteskin, Wicklow Town, Co. Wicklow, A67NW50",725000,4,3.0,Detached,C3,52.94768,-6.068648,"The Farmhouse, Ballinteskin, Wicklow Town, Co. Wicklow, A67NW50",Wicklow
"6 The Lawns, Temple Manor, Celbridge, Celbridge, Co. Kildare, W23AE27",760000,5,3.0,Detached,C1,53.330048,-6.547619,"6 The Lawns, Temple Manor, Celbridge, Celbridge, Co. Kildare, W23AE27",Kildare
"28 Gilford Road, Dublin 4, Sandymount, Dublin 4, D04YF77",Price on Application,4,4.0,Semi-D,E1,53.329097,-6.212321,"28 Gilford Road, Dublin 4, Sandymount, Dublin 4, D04YF77",Dublin
"46 Upper Grand Canal Street, Ballsbridge, Dublin 4, D04VX62",1250000,4,3.0,Terrace,D1,53.337635,-6.23502,"46 Upper Grand Canal Street, Ballsbridge, Dublin 4, D04VX62",Dublin
"12 Abington, Malahide, K36NT72",AMV: 1550000,4,4.0,Detached,C2,53.4451893,-6.1767756,"12 Abington, Malahide, K36NT72",Dublin
"Derrigimlagh, Ballyconneely, Co. Galway, H71FP27",750000,3,4.0,Detached,C2,53.436991,-10.076635,"Derrigimlagh, Ballyconneely, Co. Galway, H71FP27",Galway
"Hillcroft, Greens Hill, Kilkenny, Co. Kilkenny, R95YR6E",795000,5,2.0,Detached,C3,52.664344,-7.253234,"Hillcroft, Greens Hill, Kilkenny, Co. Kilkenny, R95YR6E",Kilkenny
"Glenside House, Maree Road, Renville East, Oranmore, Co. Galway, H91R6F6",1500000,4,6.0,Detached,B1,53.250641,-8.940714,"Glenside House, Maree Road, Renville East, Oranmore, Co. Galway, H91R6F6",Galway
"27 Hillview, Kilmoney, Carrigaline, Co. Cork, P43E449",585000,4,5.0,Detached,C1,51.807447,-8.397171,"27 Hillview, Kilmoney, Carrigaline, Co. Cork, P43E449",Cork
"Glenside House, Renville East, Oranmore, Co. Galway, H91R6F6",1500000,4,6.0,Detached,B1,53.250641,-8.940714,"Glenside House, Renville East, Oranmore, Co. Galway, H91R6F6",Galway
"The Anchorage, Colla Road, Schull, Schull, Co. Cork, P81DT86",2400000,5,3.0,Detached,D2,51.512782,-9.54341,"The Anchorage, Colla Road, Schull, Schull, Co. Cork, P81DT86",Cork
"37 Oaktree Road, Stillorgan, Co. Dublin, A94CX92",795000,3,1.0,Semi-D,C3,53.280717,-6.199264,"37 Oaktree Road, Stillorgan, Co. Dublin, A94CX92",Dublin
"26 Marian Park, Ballyheigue, Ballyheigue, Co. Kerry, V92Y9K3",199000,3,1.0,Terrace,C1,52.392653,-9.845312,"26 Marian Park, Ballyheigue, Ballyheigue, Co. Kerry, V92Y9K3",Kerry
"Apt. 15, Hanover Wharf, Grand Canal Dock, Dublin 2, D02CA43",850000,3,2.0,Apartment,B2,53.344814,-6.237481,"Apt. 15, Hanover Wharf, Grand Canal Dock, Dublin 2, D02CA43",Dublin
"Cherry View, Glenabbey Road, Mount Merrion, Co. Dublin, A94C1P8",1295000,4,3.0,Detached,B3,53.294009,-6.216541,"Cherry View, Glenabbey Road, Mount Merrion, Co. Dublin, A94C1P8",Dublin
